Year,Month,Day,date,Time (CST),State,Magnitude (0-5),Injuries,Fatalities,Property Loss ($) [0=unk],Crop Loss ($) [0=unk],Latitude,Longitude,Length of track (miles),Width of track (yards)
2020,10,10,10/10/20,4:01:00,AL,0,0,0,0,0,30.4803,-88.2508,0.08,25
2010,10,18,10/18/10,17:43:00,AZ,0,0,0,0.01,0,35.2023,-113.974,1.23,25
2010,10,21,10/21/10,16:48:00,TX,0,0,0,0,0,31.2061,-101.967,0.78,75
2010,10,21,10/21/10,17:34:00,AZ,0,0,0,0,0,36.15,-109.85,0.81,20
2010,10,21,10/21/10,17:47:00,NM,0,0,0,0,0,33.6199,-104.639,2.86,200
2010,10,21,10/21/10,18:03:00,NM,0,0,0,0,0,33.6624,-104.576,0.56,50
2010,10,23,10/23/10,11:55:00,TX,0,0,0,0.015,0,32.8035,-97.2013,0.01,50
2010,10,24,10/24/10,14:30:00,TX,0,0,0,0,0,33.086,-94.691,2.98,75
2010,10,24,10/24/10,15:58:00,AR,0,0,0,0.01,0,34.6958,-92.4557,0.76,50
2010,10,24,10/24/10,16:43:00,TX,2,4,0,1,0,32.1949,-96.5548,6.51,480
2010,10,24,10/24/10,17:00:00,TX,0,0,0,0.5,0,32.936,-95.9823,0.22,50
2010,10,24,10/24/10,17:15:00,TX,0,0,0,0,0,33.222,-95.2278,0.21,50
2010,10,24,10/24/10,17:47:00,TX,0,0,0,0.001,0,33.1873,-94.8151,0.86,75
2010,10,24,10/24/10,17:54:00,TX,0,0,0,0,0,32.7402,-95.5606,1.69,75
2010,10,24,10/24/10,18:20:00,OR,0,0,0,0,0,42.6711,-124.468,1,50
2010,10,24,10/24/10,20:10:00,AL,1,0,0,0.045,0,30.526,-87.5688,1.71,100
2010,10,24,10/24/10,20:50:00,MI,0,0,0,0,0,42.1956,-86.3411,0.08,35
2010,10,24,10/24/10,23:40:00,TN,1,0,0,0.1,0,35.286,-86.3304,1.15,200
2010,10,25,10/25/10,1:05:00,AL,1,0,0,0.1,0,34.1786,-87.6088,12.07,600
2010,10,25,10/25/10,2:23:00,AL,0,0,0,0.035,0,34.3477,-86.4988,0.93,100
2010,10,25,10/25/10,2:52:00,AL,0,0,0,0.05,0,34.583,-85.958,2.17,100
2010,10,25,10/25/10,3:02:00,AL,2,0,0,0.9,0,34.624,-85.8542,20.28,300
2010,10,25,10/25/10,3:05:00,AL,1,0,0,0.15,0,34.6854,-85.7816,15.68,150
2010,10,25,10/25/10,3:52:00,GA,0,0,0,0.04,0,34.9458,-85.0404,0.17,75
2010,10,25,10/25/10,4:00:00,TN,0,0,0,0.05,0,35.12,-85.15,0.1,40
2010,10,25,10/25/10,4:17:00,AL,1,0,0,0,0,30.6706,-88.1535,1.2,150
2010,10,25,10/25/10,19:15:00,WA,0,0,0,0.001,0,46.48,-122.74,0.01,5
2010,10,26,10/26/10,4:41:00,IL,1,0,0,0.1,0,41.8319,-89.1685,1.1,50
2010,10,26,10/26/10,5:55:00,IL,1,0,0,0.1,0,41.9126,-88.5181,0.93,20
2010,10,26,10/26/10,6:23:00,IL,0,0,0,0.004,0,38.4245,-87.8266,1.44,50
2010,10,26,10/26/10,6:29:00,IL,1,0,0,0.008,0,38.5073,-87.7046,1.5,75
2010,10,26,10/26/10,6:40:00,IL,2,2,0,0.5,0,41.309,-87.7393,2.32,200
2010,10,26,10/26/10,6:47:00,WI,1,0,0,0.1,0,42.6638,-87.8996,0.43,100
2010,10,26,10/26/10,6:48:00,WI,1,2,0,1,0,42.669,-87.8952,5.4,100
2010,10,26,10/26/10,7:33:00,IN,0,0,0,0.05,0,41.3329,-86.9716,0.11,30
2010,10,26,10/26/10,7:42:00,IN,1,0,0,0.5,0,41.4285,-86.8948,1.89,150
2010,10,26,10/26/10,7:50:00,IN,0,0,0,0.08,0,40.4856,-86.0733,0.45,50
2010,10,26,10/26/10,8:18:00,IN,0,0,0,0,0,40.8151,-85.8404,5.76,100
2010,10,26,10/26/10,8:20:00,IN,1,0,0,0,0,40.4711,-85.5402,1.13,100
2010,10,26,10/26/10,8:21:00,IN,0,0,0,0,0,40.9997,-85.5999,1.9,175
2010,10,26,10/26/10,8:23:00,IN,0,0,0,0.075,0,39.9094,-85.6428,0.47,50
2010,10,26,10/26/10,8:27:00,KY,0,0,0,0.002,0,37.2656,-87.266,0.13,50
2010,10,26,10/26/10,8:28:00,KY,1,0,0,0.1,0,36.8607,-87.529,2.44,130
2010,10,26,10/26/10,8:31:00,IN,1,0,0,0.1,0,40.9798,-85.6149,0.67,75
2010,10,26,10/26/10,8:31:00,IN,0,0,0,0,0,41.298,-85.8234,0.93,30
2010,10,26,10/26/10,8:42:00,IN,1,0,0,0,0,41.1083,-85.4717,2.19,150
2010,10,26,10/26/10,8:52:00,KY,0,0,0,0.004,0,36.7354,-87.3453,1.8,50
2010,10,26,10/26/10,8:58:00,KY,0,0,0,0.005,0,36.7694,-87.2697,0.18,30
2010,10,26,10/26/10,9:02:00,OH,0,0,0,0,0,40.9023,-84.765,2.04,80
2010,10,26,10/26/10,9:02:00,IN,0,0,0,0,0,41.06,-84.9049,1.22,175
2010,10,26,10/26/10,9:04:00,IN,1,0,0,0,0,41.1549,-84.9801,6.99,150
2010,10,26,10/26/10,9:12:00,OH,1,0,0,0,0,40.9802,-84.6112,9.26,100
2010,10,26,10/26/10,9:29:00,OH,1,0,0,0,0,41.0645,-84.3498,4.87,175
2010,10,26,10/26/10,9:40:00,OH,1,0,0,0.077,0,39.9137,-84.6889,4.35,30
2010,10,26,10/26/10,9:48:00,OH,0,0,0,0.03,0,40.6006,-84.2033,0.13,40
2010,10,26,10/26/10,9:51:00,KY,0,0,0,0.015,0,38.0214,-85.5913,0.09,75
2010,10,26,10/26/10,9:59:00,OH,2,0,0,0.238,0,40.6327,-84.1668,3.92,110
2010,10,26,10/26/10,10:04:00,IN,0,0,0,0,0,39.1538,-84.8699,0.09,10
2010,10,26,10/26/10,10:08:00,KY,1,0,0,0.04,0,36.9637,-86.3897,1.49,60
2010,10,26,10/26/10,10:35:00,KY,0,0,0,0.005,0,38.7017,-85.3974,1.12,20
2010,10,26,10/26/10,11:20:00,OH,0,0,0,0.07,0,39.443,-83.6415,3.95,200
2010,10,26,10/26/10,11:30:00,OH,0,0,0,0.075,0,39.4844,-83.5438,5.51,200
2010,10,26,10/26/10,11:52:00,OH,0,0,0,0.075,0,39.7274,-83.1187,2.23,30
2010,10,26,10/26/10,12:05:00,OH,0,0,0,0.04,0,39.8673,-82.8762,0.21,100
2010,10,26,10/26/10,12:23:00,AL,1,0,0,0.01,0,34.649,-87.1943,1.04,50
